date,XLV.US
2018-01-24,76.9487
2018-01-25,77.6069
2018-01-26,79.2784
2018-01-29,79.0619
2018-01-30,77.3991
2018-01-31,76.2992
2018-02-01,76.3252
2018-02-02,75.2513
2018-02-05,71.9170
2018-02-06,72.7137
2018-02-07,72.6271
2018-02-08,70.1069
2018-02-09,71.1029
2018-02-12,71.7697
2018-02-13,71.8217
2018-02-14,72.6358
2018-02-15,73.4412
2018-02-16,73.9695
2018-02-20,73.1554
2018-02-21,72.8523
2018-02-22,72.7397
2018-02-23,73.9002
2018-02-26,74.8356
2018-02-27,74.0561
2018-02-28,72.8696
2018-03-01,71.7091
2018-03-02,72.4366
2018-03-05,73.0948
2018-03-06,72.9909
2018-03-07,73.3633
2018-03-08,73.8569
2018-03-09,74.9222
2018-03-12,74.6017
2018-03-13,74.6970
2018-03-14,74.3333
2018-03-15,74.2120
2018-03-16,74.2120
2018-03-19,73.0127
2018-03-20,73.1169
2018-03-21,72.8041
2018-03-22,70.7096
2018-03-23,69.2408
2018-03-26,70.6748
2018-03-27,69.8405
2018-03-28,70.2142
2018-03-29,70.7443
2018-04-02,69.1365
2018-04-03,70.1881
2018-04-04,71.1876
2018-04-05,71.1354
2018-04-06,69.4233
2018-04-09,70.1099
2018-04-10,71.2918
2018-04-11,70.7096
2018-04-12,71.1876
2018-04-13,71.1528
2018-04-16,71.7177
2018-04-17,72.2739
2018-04-18,72.3348
2018-04-19,71.7264
2018-04-20,71.3440
2018-04-23,71.6221
2018-04-24,71.0833
2018-04-25,71.4048
2018-04-26,72.3087
2018-04-27,72.6042
2018-04-30,71.4917
2018-05-01,71.4570
2018-05-02,70.4749
2018-05-03,69.8405
2018-05-04,70.3967
2018-05-07,70.2924
2018-05-08,69.7622
2018-05-09,70.1620
2018-05-10,71.1006
2018-05-11,72.1609
2018-05-14,72.6389
2018-05-15,71.7003
2018-05-16,72.1001
2018-05-17,72.1262
2018-05-18,72.3087
2018-05-21,72.3782
2018-05-22,72.2392
2018-05-23,72.4738
2018-05-24,72.1870
2018-05-25,72.0827
2018-05-29,71.3440
2018-05-30,72.4130
2018-05-31,71.6221
2018-06-01,72.4477
2018-06-04,72.7172
2018-06-05,72.5694
2018-06-06,73.3864
2018-06-07,73.4820
2018-06-08,73.9078
2018-06-11,74.0469
2018-06-12,74.0034
2018-06-13,74.0208
2018-06-14,74.4032
2018-06-15,74.5480
2018-06-18,73.8327
2018-06-19,74.0246
2018-06-20,74.1816
2018-06-21,73.7542
2018-06-22,74.0857
2018-06-25,73.4053
2018-06-26,73.1785
2018-06-27,72.5591
2018-06-28,72.6551
2018-06-29,72.8034
2018-07-02,73.0302
2018-07-03,73.2046
2018-07-05,73.9636
2018-07-06,75.0278
2018-07-09,75.5773
2018-07-10,75.8652
2018-07-11,75.2633
2018-07-12,76.1007
2018-07-13,76.2403
2018-07-16,75.7780
2018-07-17,76.1967
2018-07-18,76.2577
2018-07-19,75.8303
2018-07-20,75.6820
2018-07-23,75.8390
2018-07-24,76.5282
2018-07-25,77.5052
2018-07-26,77.2871
2018-07-27,76.7288
2018-07-30,76.7724
2018-07-31,77.5749
2018-08-01,77.5924
2018-08-02,77.8803
2018-08-03,78.3426
2018-08-06,78.4821
2018-08-07,78.4909
2018-08-08,78.6130
2018-08-09,78.5258
2018-08-10,78.1856
2018-08-13,78.2117
2018-08-14,78.5781
2018-08-15,78.4473
2018-08-16,79.2149
2018-08-17,79.4591
2018-08-20,79.7208
2018-08-21,79.7208
2018-08-22,79.7993
2018-08-23,79.7732
2018-08-24,80.1570
2018-08-27,80.4449
2018-08-28,80.4885
2018-08-29,81.0119
2018-08-30,80.9508
2018-08-31,80.9334
2018-09-04,80.2878
2018-09-05,80.6106
2018-09-06,80.6106
2018-09-07,80.7327
2018-09-10,80.5234
2018-09-11,80.4536
2018-09-12,80.8548
2018-09-13,81.8580
2018-09-14,81.5876
2018-09-17,81.2910
2018-09-18,81.7621
2018-09-19,81.6487
2018-09-20,82.4425
2018-09-21,82.5537
2018-09-24,82.7201
2018-09-25,82.4661
2018-09-26,82.6500
2018-09-27,83.0703
2018-09-28,83.3243
2018-10-01,83.7359
2018-10-02,83.6396
2018-10-03,83.4819
2018-10-04,82.6675
2018-10-05,82.5712
2018-10-08,82.5362
2018-10-09,82.6763
2018-10-10,80.7234
2018-10-11,78.5429
2018-10-12,79.7514
2018-10-15,79.1997
2018-10-16,81.3715
2018-10-17,81.8006
2018-10-18,80.8723
2018-10-19,80.1367
2018-10-22,79.4799
2018-10-23,79.0508
2018-10-24,76.4412
2018-10-25,77.4307
2018-10-26,76.5550
2018-10-29,76.7477
2018-10-30,77.5709
2018-10-31,77.6759
2018-11-01,78.6567
2018-11-02,78.1663
2018-11-05,78.8582
2018-11-06,79.2610
2018-11-07,81.5904
2018-11-08,81.6342
2018-11-09,81.3977
2018-11-12,80.2943
2018-11-13,79.7339
2018-11-14,79.0946
2018-11-15,79.7952
2018-11-16,80.6008
2018-11-19,79.5762
2018-11-20,78.8319
2018-11-21,78.3853
2018-11-23,78.4991
2018-11-26,79.2610
2018-11-27,80.0842
2018-11-28,82.0107
2018-11-29,82.2822
2018-11-30,83.9548
2018-12-03,83.5520
2018-12-04,81.6867
2018-12-06,81.3802
2018-12-07,79.3048
2018-12-10,79.6113
2018-12-11,79.8565
2018-12-12,80.5395
2018-12-13,80.6183
2018-12-14,77.9036
2018-12-17,76.3536
2018-12-18,75.6881
2018-12-19,74.6985
2018-12-20,73.6476
2018-12-21,72.7328
2018-12-24,70.9910
2018-12-26,74.0875
2018-12-27,74.9056
2018-12-28,74.9936
2018-12-31,76.1020
2019-01-02,74.9496
2019-01-03,73.4277
2019-01-04,75.6182
2019-01-07,75.9085
2019-01-08,76.4978
2019-01-09,76.8409
2019-01-10,76.9905
2019-01-11,77.2456
2019-01-14,76.3923
2019-01-15,77.7646
2019-01-16,77.6238
2019-01-17,78.3100
2019-01-18,79.2425
2019-01-22,78.6971
2019-01-23,78.7850
2019-01-24,78.1253
2019-01-25,78.2220
2019-01-28,77.3336
