date,XLY.US
2018-01-24,49.8448
2018-01-25,49.7572
2018-01-26,50.2458
2018-01-29,50.1075
2018-01-30,49.8586
2018-01-31,49.6973
2018-02-01,49.1441
2018-02-02,48.6739
2018-02-05,47.0329
2018-02-06,48.2360
2018-02-07,48.0885
2018-02-08,46.1708
2018-02-09,46.4797
2018-02-12,47.1112
2018-02-13,47.3555
2018-02-14,48.1115
2018-02-15,48.5402
2018-02-16,48.3051
2018-02-20,48.1576
2018-02-21,48.0885
2018-02-22,48.1484
2018-02-23,48.8214
2018-02-26,49.2317
2018-02-27,48.1899
2018-02-28,47.9732
2018-03-01,47.4569
2018-03-02,47.5030
2018-03-05,48.0700
2018-03-06,48.4019
2018-03-07,48.0746
2018-03-08,48.2268
2018-03-09,48.9735
2018-03-12,49.1349
2018-03-13,48.7892
2018-03-14,48.7292
2018-03-15,48.6785
2018-03-16,48.6277
2018-03-19,48.0220
2018-03-20,48.3087
2018-03-21,48.2717
2018-03-22,47.2453
2018-03-23,46.3160
2018-03-26,47.6845
2018-03-27,46.7506
2018-03-28,46.1819
2018-03-29,46.8292
2018-04-02,45.5069
2018-04-03,46.0849
2018-04-04,46.9309
2018-04-05,47.5597
2018-04-06,46.5472
2018-04-09,46.4362
2018-04-10,47.0003
2018-04-11,46.8569
2018-04-12,47.0604
2018-04-13,46.7968
2018-04-16,47.1482
2018-04-17,48.0266
2018-04-18,48.2532
2018-04-19,48.1006
2018-04-20,47.6105
2018-04-23,47.7123
2018-04-24,46.9587
2018-04-25,47.1528
2018-04-26,47.9157
2018-04-27,48.1330
2018-04-30,47.9434
2018-05-01,48.0081
2018-05-02,47.6799
2018-05-03,47.4672
2018-05-04,48.0914
2018-05-07,48.2532
2018-05-08,48.0498
2018-05-09,48.2162
2018-05-10,48.3919
2018-05-11,48.4936
2018-05-14,48.5861
2018-05-15,48.3040
2018-05-16,48.7063
2018-05-17,48.5444
2018-05-18,48.4843
2018-05-21,48.7525
2018-05-22,48.5352
2018-05-23,48.8866
2018-05-24,48.9929
2018-05-25,49.0669
2018-05-29,48.6878
2018-05-30,49.1316
2018-05-31,48.8958
2018-06-01,49.2564
2018-06-04,49.8066
2018-06-05,50.0979
2018-06-06,50.5648
2018-06-07,50.7128
2018-06-08,50.8191
2018-06-11,51.0225
2018-06-12,51.2676
2018-06-13,51.3462
2018-06-14,51.8825
2018-06-15,51.9677
2018-06-18,51.8797
2018-06-19,51.8148
2018-06-20,52.0605
2018-06-21,51.6896
2018-06-22,51.6015
2018-06-25,50.4798
2018-06-26,50.8413
