date,XLP.US
2018-01-24,46.4800
2018-01-25,46.5039
2018-01-26,46.7267
2018-01-29,46.5437
2018-01-30,46.2333
2018-01-31,46.0184
2018-02-01,45.8194
2018-02-02,44.9439
2018-02-05,43.3124
2018-02-06,43.7899
2018-02-07,43.5989
2018-02-08,42.6597
2018-02-09,42.7473
2018-02-12,43.1850
2018-02-13,43.3840
2018-02-14,43.3601
2018-02-15,44.0764
2018-02-16,44.2515
2018-02-20,43.2487
2018-02-21,42.7314
2018-02-22,42.8428
2018-02-23,43.2566
2018-02-26,43.5272
2018-02-27,42.9542
2018-02-28,42.5085
2018-03-01,42.4130
2018-03-02,42.7711
2018-03-05,43.1452
2018-03-06,43.1771
2018-03-07,42.7871
2018-03-08,43.1771
2018-03-09,43.4556
2018-03-12,43.3760
2018-03-13,43.3442
2018-03-14,42.9064
2018-03-15,42.6040
2018-03-16,42.6192
2018-03-19,42.2030
2018-03-20,42.0830
2018-03-21,41.5627
2018-03-22,41.2186
2018-03-23,40.7064
2018-03-26,41.2906
2018-03-27,41.2666
2018-03-28,41.8349
2018-03-29,42.1230
2018-04-02,41.0905
2018-04-03,41.6348
2018-04-04,42.2831
2018-04-05,42.3871
2018-04-06,41.9549
2018-04-09,41.9309
2018-04-10,42.0270
2018-04-11,41.9469
2018-04-12,41.8829
2018-04-13,42.0910
2018-04-16,42.5472
2018-04-17,42.6432
2018-04-18,42.3231
2018-04-19,41.0985
2018-04-20,40.4102
2018-04-23,40.3622
2018-04-24,40.1061
2018-04-25,40.1781
2018-04-26,40.4182
2018-04-27,40.6343
2018-04-30,40.3782
2018-05-01,40.0260
2018-05-02,39.2417
2018-05-03,39.2017
2018-05-04,39.7699
2018-05-07,39.5218
2018-05-08,39.3617
2018-05-09,39.4178
2018-05-10,39.6499
2018-05-11,39.6499
2018-05-14,39.6339
2018-05-15,39.4818
2018-05-16,39.7619
2018-05-17,39.8980
2018-05-18,39.6499
2018-05-21,39.8180
2018-05-22,39.7459
2018-05-23,39.8900
2018-05-24,39.8580
2018-05-25,39.9220
2018-05-29,39.8340
2018-05-30,40.3942
2018-05-31,39.7459
2018-06-01,39.7459
2018-06-04,40.0741
2018-06-05,39.8900
2018-06-06,39.9380
2018-06-07,40.1861
2018-06-08,40.6823
2018-06-11,41.0185
2018-06-12,41.0985
2018-06-13,40.9705
2018-06-14,41.0425
2018-06-15,41.5700
2018-06-18,40.9651
2018-06-19,41.1828
2018-06-20,41.2232
2018-06-21,41.3038
2018-06-22,41.6426
2018-06-25,41.8523
2018-06-26,41.6748
2018-06-27,41.5861
2018-06-28,41.5861
2018-06-29,41.5619
2018-07-02,41.3200
2018-07-03,41.4167
2018-07-05,41.9894
2018-07-06,42.1185
2018-07-09,41.9571
2018-07-10,42.4572
2018-07-11,42.3201
2018-07-12,42.2636
2018-07-13,42.5379
2018-07-16,42.3362
2018-07-17,42.6992
2018-07-18,42.3524
2018-07-19,42.3766
2018-07-20,42.6347
2018-07-23,42.3685
2018-07-24,42.4491
2018-07-25,42.7718
2018-07-26,42.9976
2018-07-27,43.0541
2018-07-30,43.0057
2018-07-31,43.2073
2018-08-01,42.8444
2018-08-02,43.2799
2018-08-03,43.7880
2018-08-06,43.8284
2018-08-07,43.5622
2018-08-08,43.2315
2018-08-09,43.1025
2018-08-10,42.9411
2018-08-13,42.9411
2018-08-14,43.2396
2018-08-15,43.4170
2018-08-16,44.0381
2018-08-17,44.3768
2018-08-20,44.3526
2018-08-21,44.0381
2018-08-22,43.7638
2018-08-23,43.6590
2018-08-24,43.6025
2018-08-27,43.6267
2018-08-28,43.4815
2018-08-29,43.5299
2018-08-30,43.3928
2018-08-31,43.3767
2018-09-04,43.3202
2018-09-05,43.8203
2018-09-06,43.9413
2018-09-07,43.8526
2018-09-10,44.0058
2018-09-11,43.8445
2018-09-12,44.3526
2018-09-13,44.2881
2018-09-14,44.1671
2018-09-17,44.3284
2018-09-18,44.1429
2018-09-19,44.0623
2018-09-20,44.6188
2018-09-21,44.6903
2018-09-24,44.0080
