date,XLRE.US
2017-12-04,24.5894
2017-12-05,24.4928
2017-12-06,24.5299
2017-12-07,24.6266
2017-12-08,24.6861
2017-12-11,24.7456
2017-12-12,24.8571
2017-12-13,24.8497
2017-12-14,24.8720
2017-12-15,24.9509
2017-12-18,25.0336
2017-12-19,24.5600
2017-12-20,24.2969
2017-12-21,24.2142
2017-12-22,24.3721
2017-12-26,24.4999
2017-12-27,24.5976
2017-12-28,24.7404
2017-12-29,24.7630
2018-01-02,24.6201
2018-01-03,24.6277
2018-01-04,24.2067
2018-01-05,24.2593
2018-01-08,24.4247
2018-01-09,24.1465
2018-01-10,23.7706
2018-01-11,23.6203
2018-01-12,23.4474
2018-01-16,23.5602
2018-01-17,23.6955
2018-01-18,23.4699
2018-01-19,23.6353
2018-01-22,23.8609
2018-01-23,24.2292
2018-01-24,24.1616
2018-01-25,24.1089
2018-01-26,24.1766
2018-01-29,23.8984
2018-01-30,23.8007
2018-01-31,24.2894
2018-02-01,23.8458
2018-02-02,23.5752
2018-02-05,22.9663
2018-02-06,22.9212
2018-02-07,22.8159
2018-02-08,22.1017
2018-02-09,22.6205
2018-02-12,22.6806
2018-02-13,22.8460
2018-02-14,22.7031
2018-02-15,22.9136
2018-02-16,23.0640
2018-02-20,22.8309
2018-02-21,22.4100
2018-02-22,22.6656
2018-02-23,23.0790
2018-02-26,23.1617
2018-02-27,22.6656
2018-02-28,22.6355
2018-03-01,22.5227
2018-03-02,22.4475
2018-03-05,22.7633
2018-03-06,22.8535
2018-03-07,22.9512
2018-03-08,23.1317
2018-03-09,23.2820
2018-03-12,23.3948
2018-03-13,23.4699
2018-03-14,23.5150
2018-03-15,23.5150
2018-03-16,23.6385
2018-03-19,23.4041
2018-03-20,23.3965
2018-03-21,23.1848
2018-03-22,23.1016
2018-03-23,22.7386
2018-03-26,23.0487
2018-03-27,23.0865
2018-03-28,23.5100
2018-03-29,23.5024
2018-04-02,23.2150
2018-04-03,23.2982
2018-04-04,23.5705
2018-04-05,23.5931
2018-04-06,23.3512
2018-04-09,23.3436
2018-04-10,23.1848
2018-04-11,23.2453
2018-04-12,22.9731
2018-04-13,23.0941
2018-04-16,23.1999
2018-04-17,23.5100
2018-04-18,23.4495
2018-04-19,23.0562
2018-04-20,22.8521
2018-04-23,22.8974
2018-04-24,22.9201
2018-04-25,22.8445
2018-04-26,23.1394
2018-04-27,23.4495
2018-04-30,23.3587
2018-05-01,23.5251
2018-05-02,23.4192
2018-05-03,23.4117
2018-05-04,23.6763
2018-05-07,23.7217
2018-05-08,23.5553
2018-05-09,23.7368
2018-05-10,23.9561
2018-05-11,23.8427
2018-05-14,23.6763
2018-05-15,23.2755
2018-05-16,23.2150
2018-05-17,23.0941
2018-05-18,23.1092
2018-05-21,23.3436
2018-05-22,23.3738
2018-05-23,23.5629
2018-05-24,23.4721
2018-05-25,23.5856
2018-05-29,23.6461
2018-05-30,23.9561
2018-05-31,23.8805
2018-06-01,23.9788
2018-06-04,24.2132
2018-06-05,24.0922
2018-06-06,24.1603
2018-06-07,24.1603
2018-06-08,24.2435
2018-06-11,24.2359
2018-06-12,24.3720
2018-06-13,23.8276
2018-06-14,24.0544
2018-06-15,24.0152
2018-06-18,23.9924
2018-06-19,24.0229
2018-06-20,24.2822
2018-06-21,24.4271
2018-06-22,24.6406
2018-06-25,24.5796
2018-06-26,24.7092
2018-06-27,24.6406
2018-06-28,24.8846
2018-06-29,24.9456
2018-07-02,24.8007
2018-07-03,24.9456
2018-07-05,25.2736
2018-07-06,25.3803
2018-07-09,25.1439
2018-07-10,25.2659
2018-07-11,25.1897
2018-07-12,25.2507
2018-07-13,25.1668
2018-07-16,25.0295
2018-07-17,24.8618
2018-07-18,24.7702
2018-07-19,25.0067
2018-07-20,24.7855
2018-07-23,24.7169
2018-07-24,24.6482
2018-07-25,24.8923
2018-07-26,24.9761
2018-07-27,24.7474
2018-07-30,24.7245
2018-07-31,25.2049
2018-08-01,25.3727
2018-08-02,25.2507
2018-08-03,25.5786
2018-08-06,25.5252
2018-08-07,25.4719
2018-08-08,25.3117
2018-08-09,25.3575
2018-08-10,25.1134
2018-08-13,25.1058
2018-08-14,25.2049
2018-08-15,25.4261
2018-08-16,25.6244
2018-08-17,25.8684
2018-08-20,25.8989
2018-08-21,25.6625
2018-08-22,25.5024
2018-08-23,25.4414
2018-08-24,25.6168
2018-08-27,25.5786
2018-08-28,25.8913
2018-08-29,25.8532
2018-08-30,25.7159
2018-08-31,25.8150
2018-09-04,25.5863
2018-09-05,25.7464
2018-09-06,25.8303
2018-09-07,25.5024
2018-09-10,25.6396
2018-09-11,25.6473
2018-09-12,25.6701
2018-09-13,25.8303
2018-09-14,25.6091
2018-09-17,25.7540
2018-09-18,25.6015
2018-09-19,25.3575
2018-09-20,25.5481
2018-09-21,25.5482
2018-09-24,25.0473
2018-09-25,25.0242
2018-09-26,24.7467
2018-09-27,24.8238
2018-09-28,25.1321
2018-10-01,24.9394
2018-10-02,24.8623
2018-10-03,24.5772
2018-10-04,24.4616
2018-10-05,24.4693
2018-10-08,24.7852
2018-10-09,24.8700
2018-10-10,24.4770
2018-10-11,23.7602
2018-10-12,23.7448
2018-10-15,23.8913
2018-10-16,24.3383
2018-10-17,24.2689
2018-10-18,24.2766
2018-10-19,24.5232
2018-10-22,24.1764
2018-10-23,24.3305
2018-10-24,24.6157
2018-10-25,24.9086
2018-10-26,24.2612
2018-10-29,24.6619
2018-10-30,25.0704
2018-10-31,24.7313
2018-11-01,24.8238
2018-11-02,24.6157
2018-11-05,25.0242
2018-11-06,25.1629
2018-11-07,25.4403
2018-11-08,25.4943
2018-11-09,25.5251
2018-11-12,25.5791
2018-11-13,25.6330
2018-11-14,25.6253
2018-11-15,25.4249
2018-11-16,25.7871
2018-11-19,25.8565
2018-11-20,25.5174
2018-11-21,25.5020
2018-11-23,25.4095
2018-11-26,25.4635
2018-11-27,25.6022
2018-11-28,25.8103
2018-11-29,25.8411
2018-11-30,26.0877
2018-12-03,26.2110
2018-12-04,25.8642
2018-12-06,26.5732
2018-12-07,26.1725
2018-12-10,26.0723
2018-12-11,26.1185
2018-12-12,25.6253
2018-12-13,25.8026
2018-12-14,25.7563
2018-12-17,24.7930
2018-12-18,25.0396
2018-12-19,24.8084
2018-12-20,24.5078
2018-12-21,24.1325
2018-12-24,23.2436
2018-12-26,23.9843
2018-12-27,24.0389
2018-12-28,24.1247
2018-12-31,24.1714
2019-01-02,23.6178
2019-01-03,23.7270
2019-01-04,23.9687
2019-01-07,24.1714
2019-01-08,24.5925
2019-01-09,24.4911
2019-01-10,24.8810
2019-01-11,24.9278
2019-01-14,24.8498
2019-01-15,25.1305
2019-01-16,25.2475
2019-01-17,25.3722
2019-01-18,25.4658
2019-01-22,25.4190
2019-01-23,25.4346
2019-01-24,25.5360
2019-01-25,25.8323
2019-01-28,26.0896
2019-01-29,26.2923
2019-01-30,26.5106
2019-01-31,26.7679
2019-02-01,26.6042
2019-02-04,26.7601
2019-02-05,26.9395
2019-02-06,26.7289
2019-02-07,26.9551
2019-02-08,26.9551
2019-02-11,27.0330
2019-02-12,26.8459
2019-02-13,27.0252
2019-02-14,27.1266
2019-02-15,27.2903
2019-02-19,27.3215
2019-02-20,27.1500
2019-02-21,27.1968
2019-02-22,27.3527
2019-02-25,27.1266
2019-02-26,27.0720
2019-02-27,26.9862
2019-02-28,27.0642
2019-03-01,27.0330
2019-03-04,27.1422
2019-03-05,27.2202
2019-03-06,27.1500
2019-03-07,27.1266
2019-03-08,27.1500
2019-03-11,27.5710
2019-03-12,27.7192
2019-03-13,27.8517
2019-03-14,27.9219
2019-03-15,27.8070
2019-03-18,27.6659
2019-03-19,27.5875
2019-03-20,27.7129
2019-03-21,28.2070
2019-03-22,28.0737
2019-03-25,28.0972
2019-03-26,28.2697
2019-03-27,28.1756
2019-03-28,28.4109
2019-03-29,28.4030
2019-04-01,28.3168
2019-04-02,28.5599
2019-04-03,28.5285
