date,XLC.US
2019-07-11,47.5209
2019-07-12,47.8665
2019-07-15,47.8758
2019-07-16,47.7637
2019-07-17,47.3153
2019-07-18,46.9323
2019-07-19,46.3251
2019-07-22,46.5026
2019-07-23,46.6801
2019-07-24,47.0912
2019-07-25,46.9697
2019-07-26,48.3149
2019-07-29,48.0440
2019-07-30,47.8198
2019-07-31,47.4368
2019-08-01,47.2126
2019-08-02,46.7549
2019-08-05,45.2415
2019-08-06,45.8954
2019-08-07,45.9515
2019-08-08,46.8763
2019-08-09,46.3532
2019-08-12,45.8581
2019-08-13,46.5307
2019-08-14,44.8772
2019-08-15,44.9519
2019-08-16,45.5311
2019-08-19,46.2411
2019-08-20,45.9328
2019-08-21,46.1103
2019-08-22,46.0075
2019-08-23,44.7464
2019-08-26,45.4190
2019-08-27,45.5031
2019-08-28,45.6152
2019-08-29,46.3251
2019-08-30,46.2691
2019-09-03,45.8113
2019-09-04,46.6988
2019-09-05,47.4928
2019-09-06,47.3901
2019-09-09,47.5395
2019-09-10,47.6049
2019-09-11,47.8572
2019-09-12,47.9973
2019-09-13,47.9132
2019-09-16,47.7357
2019-09-17,47.7824
2019-09-18,47.7264
2019-09-19,47.7731
2019-09-20,47.4632
2019-09-23,47.2946
2019-09-24,46.5830
2019-09-25,47.1167
2019-09-26,46.6579
2019-09-27,46.1336
2019-09-30,46.3676
2019-10-01,45.8995
2019-10-02,45.2066
2019-10-03,45.6467
2019-10-04,46.2646
2019-10-07,46.2646
2019-10-08,45.5156
2019-10-09,45.7871
2019-10-10,46.0493
2019-10-11,46.5924
2019-10-14,46.4894
2019-10-15,47.2853
2019-10-16,47.3695
2019-10-17,47.6504
2019-10-18,47.0980
2019-10-21,47.3789
2019-10-22,46.9201
2019-10-23,47.2853
2019-10-24,46.7515
2019-10-25,47.1167
2019-10-28,47.5568
2019-10-29,47.1261
2019-10-30,47.2572
2019-10-31,47.3976
2019-11-01,47.7066
2019-11-04,47.9688
2019-11-05,47.9875
2019-11-06,47.8190
2019-11-07,48.1186
2019-11-08,48.2497
2019-11-11,48.0250
2019-11-12,48.0811
2019-11-13,48.0624
2019-11-14,48.2778
2019-11-15,48.6804
2019-11-18,48.8489
2019-11-19,48.8770
2019-11-20,48.5774
2019-11-21,48.7085
2019-11-22,48.7272
2019-11-25,48.8770
2019-11-26,49.0362
2019-11-27,49.3827
2019-11-29,49.2141
2019-12-02,48.7459
2019-12-03,48.6523
2019-12-04,48.9051
2019-12-05,49.1111
2019-12-06,49.4014
2019-12-09,49.2141
2019-12-10,49.0456
2019-12-11,49.2703
2019-12-12,49.3265
2019-12-13,49.2141
2019-12-16,49.7010
2019-12-17,49.6542
2019-12-18,49.9913
2019-12-19,50.4501
2019-12-20,50.6068
2019-12-23,50.4754
2019-12-24,50.4660
2019-12-26,50.8508
2019-12-27,50.7569
2019-12-30,50.2314
2019-12-31,50.3253
2020-01-02,50.9165
2020-01-03,50.5880
2020-01-06,51.2637
2020-01-07,51.3294
2020-01-08,51.6953
2020-01-09,51.9674
2020-01-10,51.7610
2020-01-13,52.2490
2020-01-14,52.1176
2020-01-15,52.3710
2020-01-16,52.7745
2020-01-17,53.1873
2020-01-21,53.1404
2020-01-22,53.1123
2020-01-23,52.8964
2020-01-24,52.2583
2020-01-27,51.4420
2020-01-28,52.0331
2020-01-29,51.9487
2020-01-30,51.4232
2020-01-31,50.5880
2020-02-03,51.1886
2020-02-04,51.7235
2020-02-05,51.8079
2020-02-06,52.4554
2020-02-07,52.4179
2020-02-10,52.7275
2020-02-11,52.6712
2020-02-12,53.3563
2020-02-13,53.3656
2020-02-14,53.4313
2020-02-18,53.7879
2020-02-19,54.0319
2020-02-20,53.4782
2020-02-21,52.6619
2020-02-24,50.8977
2020-02-25,49.5370
2020-02-26,49.4432
2020-02-27,47.4914
2020-02-28,47.6321
2020-03-02,49.2837
2020-03-03,47.6603
2020-03-04,49.3775
2020-03-05,47.5758
2020-03-06,46.7501
2020-03-09,43.6346
2020-03-10,45.8586
2020-03-11,43.8880
2020-03-12,39.7685
2020-03-13,43.3437
2020-03-16,38.4548
2020-03-17,40.1251
2020-03-18,38.7926
2020-03-19,39.4870
2020-03-20,37.7416
2020-03-23,37.9421
2020-03-24,40.2758
2020-03-25,39.6547
2020-03-26,41.9132
2020-03-27,40.2382
2020-03-30,41.7061
2020-03-31,41.6309
2020-04-01,39.9747
2020-04-02,40.4828
2020-04-03,39.6641
2020-04-06,42.2802
2020-04-07,42.5907
2020-04-08,43.5035
2020-04-09,43.8235
2020-04-13,43.8893
2020-04-14,45.1879
2020-04-15,44.7645
2020-04-16,44.9433
2020-04-17,45.5549
2020-04-20,45.1409
2020-04-21,43.7199
2020-04-22,44.8962
2020-04-23,45.2162
2020-04-24,45.7902
2020-04-27,46.1666
2020-04-28,45.3291
2020-04-29,47.5217
2020-04-30,47.3146
2020-05-01,46.6559
2020-05-04,46.9288
2020-05-05,47.1735
2020-05-06,47.0418
2020-05-07,47.9263
2020-05-08,48.8015
2020-05-11,48.8297
2020-05-12,47.8793
2020-05-13,47.0606
2020-05-14,47.5687
2020-05-15,48.2274
2020-05-18,49.2437
2020-05-19,49.2343
2020-05-20,50.5988
2020-05-21,50.2412
2020-05-22,50.5424
2020-05-26,50.6835
2020-05-27,51.0411
2020-05-28,50.5612
2020-05-29,50.8341
2020-06-01,51.4175
2020-06-02,51.6245
2020-06-03,51.7845
2020-06-04,51.3987
2020-06-05,52.2362
2020-06-08,53.2149
2020-06-09,53.0831
2020-06-10,52.9231
2020-06-11,50.4859
2020-06-12,50.9282
2020-06-15,51.7469
2020-06-16,52.1703
2020-06-17,52.2362
2020-06-18,52.4056
2020-06-19,52.2644
2020-06-22,52.3795
2020-06-23,52.7189
2020-06-24,51.5308
2020-06-25,51.7571
2020-06-26,49.4753
2020-06-29,50.3899
2020-06-30,50.9557
2020-07-01,52.2192
2020-07-02,52.0494
2020-07-06,53.0961
2020-07-07,52.9452
2020-07-08,53.4167
2020-07-09,53.4827
2020-07-10,54.4068
2020-07-13,53.3130
2020-07-14,53.8410
2020-07-15,54.1616
2020-07-16,54.2559
2020-07-17,54.1333
2020-07-20,54.7839
2020-07-21,54.5199
2020-07-22,54.5765
2020-07-23,53.6901
2020-07-24,53.6053
2020-07-27,53.9730
2020-07-28,53.4167
2020-07-29,53.9070
2020-07-30,54.0579
2020-07-31,54.8122
2020-08-03,54.8594
