date,XLK.US
2018-01-24,31.4472
2018-01-25,31.3919
2018-01-26,31.8897
2018-01-29,31.5993
2018-01-30,31.3135
2018-01-31,31.5486
2018-02-01,31.5762
2018-02-02,30.6406
2018-02-05,29.3593
2018-02-06,30.2028
2018-02-07,29.8156
2018-02-08,28.5804
2018-02-09,29.2810
2018-02-12,29.8064
2018-02-13,29.8801
2018-02-14,30.4286
2018-02-15,31.0093
2018-02-16,30.9632
2018-02-20,30.9909
2018-02-21,30.7927
2018-02-22,30.8296
2018-02-23,31.4748
2018-02-26,31.9680
2018-02-27,31.6454
2018-02-28,31.4195
2018-03-01,30.8987
2018-03-02,31.1937
2018-03-05,31.5117
2018-03-06,31.5809
2018-03-07,31.7560
2018-03-08,31.8943
2018-03-09,32.4980
2018-03-12,32.5994
2018-03-13,32.2261
2018-03-14,32.1985
2018-03-15,32.2169
2018-03-16,32.1836
2018-03-19,31.5456
2018-03-20,31.5317
2018-03-21,31.3421
2018-03-22,30.5330
2018-03-23,29.7193
2018-03-26,30.8474
2018-03-27,29.8580
2018-03-28,29.6592
2018-03-29,30.2464
2018-04-02,29.5251
2018-04-03,29.8164
2018-04-04,30.2325
2018-04-05,30.3574
2018-04-06,29.6130
2018-04-09,29.8442
2018-04-10,30.5793
2018-04-11,30.3990
2018-04-12,30.7642
2018-04-13,30.6625
2018-04-16,30.8983
2018-04-17,31.4716
2018-04-18,31.3884
2018-04-19,31.0416
2018-04-20,30.6116
2018-04-23,30.5007
2018-04-24,29.9690
2018-04-25,29.9736
2018-04-26,30.5192
2018-04-27,30.4637
2018-04-30,30.2649
2018-05-01,30.6440
2018-05-02,30.6116
2018-05-03,30.6810
2018-05-04,31.2635
2018-05-07,31.4808
2018-05-08,31.5502
2018-05-09,31.9386
2018-05-10,32.3547
2018-05-11,32.3084
2018-05-14,32.3038
2018-05-15,31.9987
2018-05-16,32.1420
2018-05-17,31.9756
2018-05-18,31.8415
2018-05-21,32.1189
2018-05-22,32.0726
2018-05-23,32.3084
2018-05-24,32.2715
2018-05-25,32.2483
2018-05-29,32.0726
2018-05-30,32.3084
2018-05-31,32.3177
2018-06-01,32.8679
2018-06-04,33.1314
2018-06-05,33.2470
2018-06-06,33.4643
2018-06-07,33.1961
2018-06-08,33.1407
2018-06-11,33.1776
2018-06-12,33.3395
2018-06-13,33.1684
2018-06-14,33.4042
2018-06-15,33.2766
2018-06-18,33.3137
2018-06-19,33.1420
2018-06-20,33.2116
2018-06-21,32.9564
2018-06-22,32.8497
2018-06-25,32.1677
2018-06-26,32.2976
2018-06-27,31.8568
2018-06-28,32.2466
2018-06-29,32.2326
2018-07-02,32.5203
2018-07-03,32.1352
2018-07-05,32.5899
2018-07-06,32.9704
2018-07-09,33.2209
2018-07-10,33.2998
2018-07-11,33.1699
2018-07-12,33.6942
2018-07-13,33.6571
2018-07-16,33.5782
2018-07-17,33.8287
2018-07-18,33.7731
2018-07-19,33.6524
2018-07-20,33.6617
2018-07-23,33.8334
2018-07-24,34.0190
2018-07-25,34.4458
2018-07-26,33.9169
2018-07-27,33.3369
2018-07-30,32.8173
2018-07-31,32.9054
2018-08-01,33.2024
2018-08-02,33.6199
2018-08-03,33.7406
2018-08-06,33.9215
2018-08-07,34.0514
2018-08-08,34.1442
2018-08-09,34.1582
2018-08-10,33.8844
