date,XLU.US
2018-01-24,19.2520
2018-01-25,19.5510
2018-01-26,19.5625
2018-01-29,19.3133
2018-01-30,19.3478
2018-01-31,19.5625
2018-02-01,19.2559
2018-02-02,19.1179
2018-02-05,18.8036
2018-02-06,18.5238
2018-02-07,18.4356
2018-02-08,18.2287
2018-02-09,18.6119
2018-02-12,18.7538
2018-02-13,18.8381
2018-02-14,18.6273
2018-02-15,19.0412
2018-02-16,19.2099
2018-02-20,18.9607
2018-02-21,18.7116
2018-02-22,18.8074
2018-02-23,19.2980
2018-02-26,19.2405
2018-02-27,18.9339
2018-02-28,18.8036
2018-03-01,18.8074
2018-03-02,18.7576
2018-03-05,19.1409
2018-03-06,18.8841
2018-03-07,18.7423
2018-03-08,18.8802
2018-03-09,18.9339
2018-03-12,19.0144
2018-03-13,19.0565
2018-03-14,19.2520
2018-03-15,19.2405
2018-03-16,19.4093
2018-03-19,19.2896
2018-03-20,19.2007
2018-03-21,19.1351
2018-03-22,19.2200
2018-03-23,18.9497
2018-03-26,19.1467
2018-03-27,19.4209
2018-03-28,19.4132
2018-03-29,19.5175
2018-04-02,19.3668
2018-04-03,19.4325
2018-04-04,19.4750
2018-04-05,19.6295
2018-04-06,19.4750
2018-04-09,19.5136
2018-04-10,19.3630
2018-04-11,19.3359
2018-04-12,19.0810
2018-04-13,19.2316
2018-04-16,19.4943
2018-04-17,19.6913
2018-04-18,19.6179
2018-04-19,19.6063
2018-04-20,19.4286
2018-04-23,19.4402
2018-04-24,19.5715
2018-04-25,19.5754
2018-04-26,19.7724
2018-04-27,19.9732
2018-04-30,19.9153
2018-05-01,19.8535
2018-05-02,19.8342
2018-05-03,19.8072
2018-05-04,19.8960
2018-05-07,19.7917
2018-05-08,19.2973
2018-05-09,19.1621
2018-05-10,19.4325
2018-05-11,19.4595
2018-05-14,19.3861
2018-05-15,19.2239
2018-05-16,19.0733
2018-05-17,18.9188
2018-05-18,18.9226
2018-05-21,19.0192
2018-05-22,19.0887
2018-05-23,19.2625
2018-05-24,19.4209
2018-05-25,19.5059
2018-05-29,19.5059
2018-05-30,19.6642
2018-05-31,19.6951
2018-06-01,19.3939
2018-06-04,19.2394
2018-06-05,19.1389
2018-06-06,18.6832
2018-06-07,18.8145
2018-06-08,18.8068
2018-06-11,18.7681
2018-06-12,18.9844
2018-06-13,18.9342
2018-06-14,19.1698
2018-06-15,19.3062
2018-06-18,19.3686
2018-06-19,19.5595
2018-06-20,19.5751
2018-06-21,19.6414
2018-06-22,19.7778
2018-06-25,20.1051
2018-06-26,20.1285
2018-06-27,20.2260
2018-06-28,20.2182
2018-06-29,20.2493
2018-07-02,20.3935
2018-07-03,20.4520
2018-07-05,20.5611
2018-07-06,20.7209
2018-07-09,20.0818
2018-07-10,20.2727
2018-07-11,20.4559
2018-07-12,20.4715
2018-07-13,20.4754
2018-07-16,20.4559
2018-07-17,20.4403
2018-07-18,20.3351
2018-07-19,20.5221
2018-07-20,20.3779
2018-07-23,20.2337
2018-07-24,20.3039
2018-07-25,20.3623
2018-07-26,20.5806
2018-07-27,20.5143
2018-07-30,20.3896
2018-07-31,20.5728
2018-08-01,20.4403
2018-08-02,20.5416
2018-08-03,20.7715
2018-08-06,20.7871
2018-08-07,20.7560
2018-08-08,20.6468
2018-08-09,20.7404
2018-08-10,20.6507
2018-08-13,20.6780
2018-08-14,20.7209
2018-08-15,20.9118
2018-08-16,21.1379
2018-08-17,21.2470
2018-08-20,21.1729
2018-08-21,21.0210
2018-08-22,20.8651
2018-08-23,20.8495
2018-08-24,20.9391
2018-08-27,20.8105
2018-08-28,20.7676
2018-08-29,20.9196
2018-08-30,20.9274
2018-08-31,20.8378
2018-09-04,20.9313
2018-09-05,21.2236
2018-09-06,21.3444
2018-09-07,21.0833
2018-09-10,21.1885
2018-09-11,21.1340
2018-09-12,21.1145
2018-09-13,21.2743
2018-09-14,21.1613
2018-09-17,21.2314
2018-09-18,21.1924
2018-09-19,20.7326
2018-09-20,20.7754
2018-09-21,20.8639
2018-09-24,20.6791
2018-09-25,20.3960
2018-09-26,20.1955
2018-09-27,20.4039
2018-09-28,20.7027
2018-10-01,20.6319
2018-10-02,20.9111
2018-10-03,20.6594
2018-10-04,20.7695
2018-10-05,21.0880
2018-10-08,21.2650
2018-10-09,21.3515
2018-10-10,21.2335
2018-10-11,20.8443
2018-10-12,20.8207
2018-10-15,20.9190
2018-10-16,21.1352
2018-10-17,21.0959
2018-10-18,21.1274
2018-10-19,21.4577
2018-10-22,21.3200
2018-10-23,21.2021
2018-10-24,21.7172
2018-10-25,21.3790
2018-10-26,20.9858
2018-10-29,21.2807
2018-10-30,21.3633
2018-10-31,21.1116
2018-11-01,21.0173
2018-11-02,20.8993
2018-11-05,21.1942
2018-11-06,21.3358
2018-11-07,21.5796
2018-11-08,21.5442
2018-11-09,21.5756
2018-11-12,21.5638
2018-11-13,21.6543
2018-11-14,21.4301
2018-11-15,21.2532
2018-11-16,21.5796
2018-11-19,21.6739
2018-11-20,21.5835
2018-11-21,21.2650
2018-11-23,21.2768
2018-11-26,21.4026
2018-11-27,21.5638
2018-11-28,21.5481
2018-11-29,21.5402
2018-11-30,21.8587
2018-12-03,22.0789
2018-12-04,22.0947
2018-12-06,22.1183
2018-12-07,22.2008
2018-12-10,22.2441
2018-12-11,22.3345
2018-12-12,22.1930
2018-12-13,22.3857
2018-12-14,22.3424
2018-12-17,21.6228
2018-12-18,21.4773
2018-12-19,21.4419
2018-12-20,21.4301
2018-12-21,21.3385
2018-12-24,20.4463
2018-12-26,20.7239
2018-12-27,20.8984
2018-12-28,20.9499
2018-12-31,20.9856
2019-01-02,20.6247
2019-01-03,20.6208
2019-01-04,20.9261
2019-01-07,20.7834
2019-01-08,21.0411
2019-01-09,20.9142
2019-01-10,21.1878
2019-01-11,21.1085
2019-01-14,20.6327
2019-01-15,20.8865
2019-01-16,20.9618
2019-01-17,21.0491
2019-01-18,21.0728
2019-01-22,21.1125
2019-01-23,21.3266
2019-01-24,21.4377
2019-01-25,21.1442
2019-01-28,21.0451
2019-01-29,21.1046
2019-01-30,21.2672
2019-01-31,21.7153
2019-02-01,21.6320
2019-02-04,21.6677
2019-02-05,21.7113
2019-02-06,21.6994
2019-02-07,21.9849
2019-02-08,22.0801
2019-02-11,22.0722
2019-02-12,22.1237
2019-02-13,22.0603
2019-02-14,22.0246
2019-02-15,22.0920
2019-02-19,22.2229
2019-02-20,22.3220
2019-02-21,22.4846
2019-02-22,22.6234
2019-02-25,22.4766
2019-02-26,22.4489
2019-02-27,22.4766
2019-02-28,22.6075
2019-03-01,22.6551
2019-03-04,22.6948
2019-03-05,22.6670
2019-03-06,22.6670
2019-03-07,22.7423
2019-03-08,22.8216
2019-03-11,22.9842
2019-03-12,23.1429
2019-03-13,23.1666
2019-03-14,23.1627
2019-03-15,23.2466
2019-03-18,23.1587
2019-03-19,22.8950
2019-03-20,22.9549
2019-03-21,23.1986
2019-03-22,23.3664
2019-03-25,23.3864
2019-03-26,23.5542
2019-03-27,23.3904
2019-03-28,23.1147
2019-03-29,23.2386
2019-04-01,23.0788
2019-04-02,23.1107
2019-04-03,23.0748
2019-04-04,22.9949
2019-04-05,23.2106
2019-04-08,23.0468
2019-04-09,23.1028
2019-04-10,23.0309
2019-04-11,23.1467
2019-04-12,23.2546
2019-04-15,23.2506
2019-04-16,22.9629
2019-04-17,22.8750
2019-04-18,22.8870
2019-04-22,22.8671
2019-04-23,22.9310
2019-04-24,23.0788
2019-04-25,23.1747
2019-04-26,23.2106
2019-04-29,23.0748
2019-04-30,23.4543
2019-05-01,23.2146
2019-05-02,23.1627
2019-05-03,23.2905
2019-05-06,23.1627
2019-05-07,23.0908
2019-05-08,22.7752
2019-05-09,22.7472
2019-05-10,23.1547
2019-05-13,23.4024
2019-05-14,23.2466
2019-05-15,23.2066
2019-05-16,23.3624
2019-05-17,23.4823
2019-05-20,23.5142
2019-05-21,23.5582
2019-05-22,23.7340
2019-05-23,23.9377
2019-05-24,23.9017
2019-05-28,23.5102
2019-05-29,23.1986
2019-05-30,23.1627
2019-05-31,23.2705
2019-06-03,23.5023
2019-06-04,23.5222
2019-06-05,24.0256
2019-06-06,24.1734
2019-06-07,23.9936
2019-06-10,23.8298
2019-06-11,23.6860
2019-06-12,23.9936
2019-06-13,24.0416
2019-06-14,24.2933
2019-06-17,24.2253
2019-06-18,24.1255
2019-06-19,24.3092
2019-06-20,24.4650
2019-06-21,24.5597
2019-06-24,24.5677
2019-06-25,24.4187
2019-06-26,23.8872
2019-06-27,23.9194
2019-06-28,24.0120
2019-07-01,23.9516
2019-07-02,24.2778
2019-07-03,24.4469
2019-07-05,24.4348
2019-07-08,24.4711
2019-07-09,24.5033
2019-07-10,24.5597
2019-07-11,24.5677
2019-07-12,24.4066
2019-07-15,24.5033
2019-07-16,24.3624
2019-07-17,24.4550
2019-07-18,24.6684
2019-07-19,24.3100
2019-07-22,24.2577
2019-07-23,24.1046
2019-07-24,24.1248
2019-07-25,24.0644
2019-07-26,24.1530
2019-07-29,24.2778
2019-07-30,24.0926
2019-07-31,23.9798
2019-08-01,24.2254
2019-08-02,24.2214
2019-08-05,23.8751
2019-08-06,24.1731
2019-08-07,24.2335
2019-08-08,24.4832
2019-08-09,24.5113
2019-08-12,24.4630
2019-08-13,24.4791
2019-08-14,24.2778
2019-08-15,24.5919
2019-08-16,24.7167
2019-08-19,24.8738
2019-08-20,24.8335
2019-08-21,24.9986
2019-08-22,25.0228
2019-08-23,24.7570
2019-08-26,25.0429
2019-08-27,25.0872
2019-08-28,25.0187
2019-08-29,25.1919
2019-08-30,25.1999
2019-09-03,25.6469
2019-09-04,25.6711
2019-09-05,25.3932
2019-09-06,25.2926
2019-09-09,25.1677
2019-09-10,25.1999
2019-09-11,25.4496
2019-09-12,25.5060
2019-09-13,25.3449
2019-09-16,25.3650
2019-09-17,25.5865
2019-09-18,25.6952
2019-09-19,25.8160
2019-09-20,25.9183
2019-09-23,25.9224
2019-09-24,26.2267
2019-09-25,26.2105
2019-09-26,26.3484
2019-09-27,26.2551
2019-09-30,26.2713
2019-10-01,26.2105
2019-10-02,25.8615
2019-10-03,25.9224
2019-10-04,26.2835
2019-10-07,26.1821
2019-10-08,25.9386
2019-10-09,26.0644
2019-10-10,26.0360
2019-10-11,25.9386
2019-10-14,25.7722
2019-10-15,25.6911
2019-10-16,25.7479
2019-10-17,25.8128
2019-10-18,25.8980
2019-10-21,25.9995
2019-10-22,26.1090
2019-10-23,26.2145
2019-10-24,26.3038
2019-10-25,26.0360
2019-10-28,25.6789
2019-10-29,25.7032
2019-10-30,25.9305
2019-10-31,26.0725
2019-11-01,26.0076
2019-11-04,25.6748
2019-11-05,25.4111
2019-11-06,25.5084
2019-11-07,25.1635
2019-11-08,25.0580
2019-11-11,24.9038
2019-11-12,24.9647
2019-11-13,25.3340
2019-11-14,25.4232
2019-11-15,25.5044
2019-11-18,25.5571
2019-11-19,25.4922
2019-11-20,25.6464
2019-11-21,25.5571
2019-11-22,25.5653
2019-11-25,25.4800
2019-11-26,25.5653
2019-11-27,25.6099
2019-11-29,25.5855
2019-12-02,25.4192
2019-12-03,25.4882
2019-12-04,25.6829
2019-12-05,25.7276
2019-12-06,25.6505
2019-12-09,25.5612
2019-12-10,25.5571
2019-12-11,25.6261
2019-12-12,25.5166
2019-12-13,25.7154
2019-12-16,26.0360
2019-12-17,26.1212
2019-12-18,26.2267
2019-12-19,26.2348
2019-12-20,26.4152
2019-12-23,26.1698
2019-12-24,26.2066
2019-12-26,26.2516
2019-12-27,26.3293
2019-12-30,26.3252
2019-12-31,26.4274
2020-01-02,26.0962
2020-01-03,26.1493
2020-01-06,26.1739
2020-01-07,26.1371
2020-01-08,26.1248
2020-01-09,26.2679
2020-01-10,26.3375
2020-01-13,26.4970
2020-01-14,26.5747
2020-01-15,26.9468
2020-01-16,27.1145
2020-01-17,27.3026
2020-01-21,27.5521
2020-01-22,27.6380
2020-01-23,27.8834
2020-01-24,27.9570
2020-01-27,27.8875
