date,XLI.US
2018-01-24,69.1677
2018-01-25,69.2371
2018-01-26,70.0360
2018-01-29,69.5671
2018-01-30,69.0201
2018-01-31,69.2285
2018-02-01,69.1069
2018-02-02,67.7176
2018-02-05,64.6439
2018-02-06,65.8248
2018-02-07,65.9463
2018-02-08,63.4023
2018-02-09,64.0882
2018-02-12,65.1215
2018-02-13,65.2691
2018-02-14,66.0939
2018-02-15,67.0925
2018-02-16,67.1098
2018-02-20,66.4326
2018-02-21,66.4499
2018-02-22,66.8928
2018-02-23,67.4485
2018-02-26,68.3775
2018-02-27,67.5179
2018-02-28,66.5541
2018-03-01,65.2517
2018-03-02,65.2343
2018-03-05,66.0158
2018-03-06,66.3110
2018-03-07,66.3023
2018-03-08,66.6496
2018-03-09,68.1170
2018-03-12,67.2748
2018-03-13,66.9449
2018-03-14,66.2155
2018-03-15,66.4065
2018-03-16,66.7613
2018-03-19,66.2470
2018-03-20,66.4737
2018-03-21,66.5521
2018-03-22,64.3552
2018-03-23,63.4137
2018-03-26,64.9480
2018-03-27,64.0501
2018-03-28,63.8321
2018-03-29,64.7650
2018-04-02,63.4311
2018-04-03,64.3116
2018-04-04,64.5906
2018-04-05,65.2444
2018-04-06,63.4398
2018-04-09,63.2480
2018-04-10,64.2157
2018-04-11,63.7450
2018-04-12,64.6603
2018-04-13,64.5034
2018-04-16,65.1485
2018-04-17,65.6978
2018-04-18,66.3778
2018-04-19,66.1947
2018-04-20,65.9070
2018-04-23,65.8285
2018-04-24,63.9891
2018-04-25,64.1721
2018-04-26,63.9368
2018-04-27,63.8060
2018-04-30,62.9604
2018-05-01,62.6727
2018-05-02,62.1234
2018-05-03,62.2716
2018-05-04,62.9952
2018-05-07,63.4137
2018-05-08,63.8670
2018-05-09,64.5557
2018-05-10,64.9916
2018-05-11,65.1311
2018-05-14,65.0178
2018-05-15,64.7998
2018-05-16,65.0352
2018-05-17,65.2880
2018-05-18,65.6716
2018-05-21,66.6654
2018-05-22,65.8460
2018-05-23,65.7849
2018-05-24,66.1075
2018-05-25,65.9855
2018-05-29,64.9306
2018-05-30,65.8460
2018-05-31,64.8957
2018-06-01,65.6106
2018-06-04,65.5147
2018-06-05,65.5931
2018-06-06,66.1424
2018-06-07,66.4213
2018-06-08,66.6393
2018-06-11,66.7701
2018-06-12,66.7003
2018-06-13,66.1685
2018-06-14,65.9157
2018-06-15,65.7512
2018-06-18,65.4798
2018-06-19,64.0969
2018-06-20,64.1406
2018-06-21,63.3354
2018-06-22,63.5542
2018-06-25,62.7489
2018-06-26,62.9853
2018-06-27,62.4776
2018-06-28,62.5651
2018-06-29,62.6964
2018-07-02,62.8365
2018-07-03,62.6352
2018-07-05,62.9415
2018-07-06,63.1603
2018-07-09,64.3332
2018-07-10,64.5345
2018-07-11,63.4754
2018-07-12,64.2194
2018-07-13,64.5520
2018-07-16,64.2894
2018-07-17,64.5433
2018-07-18,65.2522
2018-07-19,65.2260
2018-07-20,65.1560
2018-07-23,64.7533
2018-07-24,65.0247
2018-07-25,66.0137
2018-07-26,66.5214
2018-07-27,66.5302
2018-07-30,65.8737
2018-07-31,67.3267
2018-08-01,66.4164
2018-08-02,66.3288
2018-08-03,66.3901
2018-08-06,66.4864
2018-08-07,66.9590
2018-08-08,66.6614
2018-08-09,66.2938
2018-08-10,65.7074
2018-08-13,65.3923
2018-08-14,65.8474
2018-08-15,65.5323
2018-08-16,66.3639
2018-08-17,66.7665
2018-08-20,67.2129
2018-08-21,67.7118
2018-08-22,67.0553
2018-08-23,66.8628
2018-08-24,67.1516
2018-08-27,68.0006
2018-08-28,67.8606
